Subscribers,Video Views,category,Uploads,Country,Days Since Created,Country Rank
245000000,228000000000,7,20082,2,6137.0,1.0
166000000,28368841870,3,741,7,3967.0,1.0
162000000,164000000000,2,966,7,5965.0,2.0
159000000,148000000000,9,116536,2,5946.0,2.0
112000000,93247040539,8,1111,7,2790.0,3.0
98900000,77180169894,3,574,7,1713.0,5.0
96700000,57856289381,7,8548,2,3216.0,3.0
96000000,77428473662,10,70127,7,5713.0,6.0
83000000,101000000000,9,71270,2,5628.0,5.0
70500000,73139054467,3,129204,2,6229.0,6.0
68200000,38843229963,2,2865,7,4035.0,8.0
66500000,36775585925,7,2572,1,3937.0,1.0
65900000,45757850229,2,633,2,3612.0,7.0
65600000,28648024439,7,8502,2,4586.0,8.0
64600000,61510906457,9,112915,2,5314.0,9.0
59500000,16241549158,10,389,7,5037.0,9.0
59500000,59316472754,4,39113,7,6091.0,9.0
56900000,27073872856,7,156,7,5804.0,10.0
53500000,30367676736,7,383,6,5989.0,1.0
45200000,16602198273,3,4331,1,6073.0,2.0
44700000,7828610828,3,1558,1,3408.0,3.0
44200000,4274709210,1,558,1,3631.0,4.0
41300000,5603111948,8,291,4,2236.0,2.0
39100000,16118181673,5,1876,5,2728.0,1.0
38900000,25154232306,7,3043,1,3070.0,6.0
37000000,24188861917,8,744,1,2673.0,7.0
34000000,3963007415,3,2284,3,1941.0,1.0
33800000,15432929204,5,7606,5,5417.0,2.0
33800000,27274550757,4,66,1,5967.0,8.0
33400000,10530729078,7,1331,6,4157.0,3.0
33300000,5994136760,8,2736,3,2542.0,2.0
32100000,10602236110,9,3091,6,6205.0,4.0
32100000,13061739758,5,11882,1,3975.0,9.0
31800000,6762424690,6,6734,4,2039.0,4.0
31400000,22919271731,4,3589,6,3370.0,5.0
30400000,4332274962,3,2197,3,3261.0,4.0
30200000,14199108016,7,15,6,5384.0,6.0
29200000,11627437847,1,3654,1,3706.0,10.0
29200000,4079141673,1,404,5,6150.0,3.0
27400000,19417887510,5,3664,6,3822.0,7.0
25900000,11372071889,7,65286,3,3386.0,5.0
25700000,7466926260,8,982,4,3667.0,8.0
25400000,6430853035,8,3716,3,2561.0,6.0
25300000,17331663193,7,398,6,4745.0,8.0
25000000,14169516119,3,89179,3,3040.0,7.0
24800000,17387583720,3,1644,6,2619.0,9.0
24800000,2588501115,6,672,4,4850.0,9.0
24200000,2700914170,3,67,4,540.0,10.0
24100000,6002166932,3,1252,6,4907.0,10.0
21100000,4526271677,8,2325,3,2401.0,8.0
20300000,11819051552,2,875,3,1447.0,10.0
18400000,7038827526,1,6943,5,4357.0,7.0
18000000,6404852037,5,3566,5,3988.0,8.0
17200000,5024088947,5,7550,5,4892.0,9.0
